epoch,train_loss,val_loss,current_lr
0,0.8625065591335297,0.8893311748504639,0.0001
1,0.738704482793808,0.814566086769104,0.0001
2,0.5794978110790253,0.6835627040863037,0.0001
3,0.3408522984981537,0.5588820223808288,0.0001
4,0.13334858798980712,0.5179003553390503,0.0001
5,0.07790151047706605,0.5111254353523255,0.0001
6,0.058318337440490725,0.5077582540512084,0.0001
7,0.050982275485992434,0.5055496487617492,0.0001
8,0.04511338639259339,0.5043225965499878,0.0001
9,0.04204838490486145,0.5029498348236084,0.0001
10,0.04237095403671265,0.5235744042396545,0.0001
11,0.037312891244888305,0.49851174879074095,0.0001
12,0.0331469829082489,0.4965321316719055,0.0001
13,0.03154895257949829,0.49342346715927127,0.0001
14,0.02987962532043457,0.4871678342819214,0.0001
15,0.019645123720169067,0.48551373386383057,0.0001
16,0.015657142877578734,0.4812236986160278,0.0001
17,0.016992001056671143,0.4803694405555725,0.0001
18,0.012378027677536011,0.47519622564315794,0.0001
19,0.01035387420654297,0.46854102993011476,0.0001
20,0.008018672227859498,0.45838786268234255,0.0001
21,0.007920740842819214,0.4557035884857178,0.0001
22,0.007474514722824096,0.4482240610122681,0.0001
23,0.0065121867656707765,0.438194628238678,0.0001
24,0.006385700464248657,0.43294180917739866,0.0001
25,0.006226397275924682,0.42425114059448243,0.0001
26,0.006163936138153076,0.41725724840164186,0.0001
27,0.005265418291091919,0.40983299922943117,0.0001
28,0.003924139976501465,0.4036830863952637,0.0001
29,0.003315415859222412,0.39314577865600586,0.0001
30,0.002441688060760498,0.37622028160095217,0.0001
31,0.0021343741416931152,0.3557269992828369,0.0001
32,0.002498667001724243,0.34294719791412354,0.0001
33,0.0022239780426025393,0.3174444365501404,0.0001
34,0.001740651845932007,0.2867786455154419,0.0001
35,0.001730433702468872,0.27035745477676393,0.0001
36,0.0018669214248657226,0.2756260919570923,0.0001
37,0.001715566635131836,0.28058825016021727,0.0001
38,0.001720109224319458,0.26742207717895505,0.0001
39,0.0015136139392852783,0.23625231742858888,0.0001
40,0.0020620226860046387,0.19871185111999512,0.0001
41,0.001986234664916992,0.21323284006118776,0.0001
42,0.0020264265537261964,0.19634347200393676,0.0001
43,0.001918288230895996,0.1587393136024475,0.0001
44,0.0018642177581787108,0.1791484398841858,0.0001
45,0.0014798650741577148,0.14502558517456055,0.0001
46,0.0017866759300231934,0.23047602558135985,0.0001
47,0.0015901174545288085,0.16679176568984985,0.0001
48,0.0010019395351409913,0.12005666828155517,0.0001
49,0.000991515874862671,0.10537039852142334,0.0001
50,0.0011002743244171143,0.1004389476776123,0.0001
51,0.0011578075885772705,0.11447825336456299,0.0001
52,0.0016495444774627685,0.08707016944885254,0.0001
53,0.0006997311115264893,0.07564277458190918,0.0001
54,0.0032389137744903563,0.2840393476486206,0.0001
55,0.004486082792282104,0.20825027894973755,0.0001
56,0.0007264566421508789,0.13206654024124145,0.0001
57,0.0006934254169464111,0.11730243730545044,0.0001
58,0.0014489479064941407,0.15899783182144164,0.0001
59,0.000861232042312622,0.11615939474105835,5e-05
60,0.0006745519638061523,0.10020364761352539,5e-05
61,0.0006715366840362549,0.08683137512207031,5e-05
62,0.0038294239044189453,0.11733730745315551,5e-05
63,0.0007661252021789551,0.15324781084060668,5e-05
64,0.0007123312950134277,0.12854609394073485,5e-05
65,0.0007003371715545655,0.1125475001335144,2.5e-05
66,0.0006873116493225097,0.10970385932922364,2.5e-05
67,0.000684455394744873,0.10609571933746338,2.5e-05
68,0.0007176194190979004,0.11352365922927857,2.5e-05
69,0.0006833441257476806,0.0906412010192871,2.5e-05
70,0.0007105200290679932,0.10218020105361938,2.5e-05
71,0.0006783111095428467,0.08284644174575806,1.25e-05
72,0.0006864755153656005,0.090136643409729,1.25e-05
73,0.0006814866065979004,0.09403003692626953,1.25e-05
74,0.0006687839031219483,0.07964726734161377,1.25e-05
75,0.0006675662994384766,0.07658812141418457,1.25e-05
76,0.00068182373046875,0.0748634557723999,1.25e-05
77,0.0006682288646697998,0.07153936433792114,1.25e-05
78,0.000666346549987793,0.06323476648330688,1.25e-05
79,0.0006775429248809814,0.05784171295166016,1.25e-05
80,0.0006625828742980957,0.06525918245315551,1.25e-05
81,0.0006772563457489014,0.061545945167541506,1.25e-05
82,0.0006623144149780273,0.059066001892089846,1.25e-05
83,0.0006604154109954834,0.05217687034606933,1.25e-05
84,0.000692713737487793,0.05921452808380127,1.25e-05
85,0.0006629631519317627,0.04602213478088379,1.25e-05
86,0.0006676206588745118,0.04441628646850586,1.25e-05
87,0.0006602721214294434,0.04040207290649414,1.25e-05
88,0.0006641285419464111,0.042071085929870605,1.25e-05
89,0.0006614208221435546,0.036066442489624026,1.25e-05
90,0.0006578681468963623,0.03275311517715454,1.25e-05
91,0.0006569983959197998,0.04065151596069336,1.25e-05
92,0.0006571288108825683,0.02770548725128174,1.25e-05
93,0.0006628098487854004,0.04004399299621582,1.25e-05
94,0.0006736941337585449,0.040289601802825925,1.25e-05
95,0.0006584131717681885,0.0322341570854187,1.25e-05
96,0.0006680083274841308,0.022784812450408934,1.25e-05
97,0.0006597993373870849,0.02360267400741577,1.25e-05
98,0.0006676976680755615,0.03646786689758301,1.25e-05
99,0.0006598589420318603,0.02638753318786621,1.25e-05
