epoch,train_loss,val_loss,train_loss_bce,val_loss_bce,train_loss_dice,val_loss_dice,train_loss_centroid,val_loss_centroid,current_lr
0,1.1652437724918128,0.6763432928919793,0.3427505138795823,0.07505500013008713,0.8224932589009404,0.6012882919609547,0.0,0.0,0.0001
1,0.46105765519663694,0.33196578348055483,0.03406113202450797,0.015687415197025985,0.42699652319774034,0.31627836883068083,0.0,0.0,0.0001
2,0.32457869735080747,0.299580771336332,0.01156576340115862,0.008556604584446176,0.3130129342339933,0.2910241658985615,0.0,0.0,0.0001
3,0.15326069325907155,0.05412810908164829,0.009467571388668147,0.009717539951851109,0.1437931220792234,0.044410569593310356,0.0,0.0,0.0001
4,0.0607753551308997,0.04759866327047348,0.008684285598574206,0.00983291928148029,0.05209106935188174,0.03776574447751045,0.0,0.0,0.0001
5,0.05313720241072588,0.04351542971940944,0.00829440629320743,0.008607525836042853,0.04484279612079263,0.03490790322422981,0.0,0.0,0.0001
6,0.040602338557946496,0.04134529191767797,0.0073112366192799524,0.007575206980843541,0.033291101921349764,0.033770084753632544,0.0,0.0,0.0001
7,0.042125228657387194,0.03922580151280272,0.006680014197700075,0.0068512722492230825,0.035445214174687864,0.03237452939152718,0.0,0.0,0.0001
8,0.035099140580859965,0.03773305069073103,0.006009473809936026,0.006807071329248924,0.0290896668843925,0.030925979390740394,0.0,0.0,0.0001
9,0.04318320081481943,0.037445146233621926,0.005954043145939067,0.006749437401422618,0.03722915753722191,0.030695708841085433,0.0,0.0,0.0001
10,0.0350878449047741,0.036497670316457516,0.005640551655196759,0.00670271136516146,0.029447293505072594,0.02979495868086815,0.0,0.0,0.0001
11,0.033985250077967065,0.03574042502164957,0.005470104457945126,0.006373026362751064,0.028515145517885684,0.02936739906668663,0.0,0.0,0.0001
12,0.03338296806745347,0.035177454909135125,0.005472265851130942,0.006364630440541101,0.027910702265799045,0.028812824636697768,0.0,0.0,0.0001
13,0.03260101283689437,0.034783183426552566,0.005361993718820486,0.006339738424974558,0.027239019200205803,0.028443445041775702,0.0,0.0,0.0001
14,0.031692007137171456,0.046238598038362395,0.005149631643580506,0.008322979144157788,0.026542375441640616,0.037915618568658827,0.0,0.0,0.0001
15,0.032363401639522636,0.034017300197920125,0.005198033174538068,0.006173662492423944,0.027165368366986513,0.027843637838959694,0.0,0.0,0.0001
16,0.03084828173581627,0.04038938205179875,0.005047250254824576,0.007482535512275894,0.025801031459122895,0.03290684632956982,0.0,0.0,0.0001
17,0.03373043877480086,0.05012834727400332,0.005200774255085889,0.009419907798316252,0.028529664482921362,0.04070844016969204,0.0,0.0,0.0001
18,0.03102501001820201,0.03369281196646625,0.0050925155353934316,0.0062745052762769385,0.025932494513690472,0.027418306693434716,0.0,0.0,0.0001
19,0.030781002935036668,0.03335003781503474,0.005168158181277249,0.006328603911657131,0.02561284475028515,0.027021434009075165,0.0,0.0,0.0001
20,0.029539424230715667,0.03479133532222477,0.005102681790681345,0.006349016349131213,0.02443674234673381,0.028442318812012674,0.0,0.0,0.0001
21,0.02889430098250159,0.0360790981655191,0.005007240882594033,0.006815318255049928,0.023887059930711985,0.029263780042529105,0.0,0.0,0.0001
22,0.029549948042040343,0.03403821823165345,0.005304068489020608,0.006323174955836485,0.024245879650115966,0.02771504342556,0.0,0.0,0.0001
23,0.028533338904526317,0.033022090614540506,0.005230021449445416,0.006109527255027331,0.02330331742763519,0.026912563517689704,0.0,0.0,0.0001
24,0.026871766606309393,0.03379916495119687,0.004902415679635368,0.006314514422048228,0.021969350930303336,0.027484650760889053,0.0,0.0,0.0001
25,0.026361765597757766,0.03269375519070308,0.004841476000406502,0.006155384987011517,0.0215202896296978,0.02653836950659752,0.0,0.0,0.0001
26,0.0265127136353658,0.03356334119598614,0.004871076080305557,0.006129658638131069,0.021641637571156024,0.027433682456612585,0.0,0.0,0.0001
27,0.026112263265968067,0.032712086428655314,0.00482736341707966,0.006156227659494789,0.021284899786114694,0.02655585840344429,0.0,0.0,0.0001
28,0.02661302647415141,0.035322885120403956,0.00484035808844169,0.006448258460022916,0.021772668324410917,0.028874626308679582,0.0,0.0,0.0001
29,0.026367138126479405,0.033809314287209416,0.004801103845410531,0.00623852639660932,0.021566034220159055,0.027570788115262986,0.0,0.0,0.0001
30,0.025946008625724062,0.033131913799588804,0.004834496739244596,0.006210785822866592,0.021111511848866938,0.02692112736403942,0.0,0.0,0.0001
31,0.02577573558941367,0.03196382382666343,0.004776211263585957,0.006004352746562381,0.02099952433258295,0.02595947131514549,0.0,0.0,0.0001
32,0.025995077230327297,0.03238485534624488,0.004790761920350785,0.006001753381776196,0.021204315330833196,0.026383101642131805,0.0,0.0,0.0001
33,0.02493701301078545,0.03162092335835041,0.00461774068975048,0.005991487275372973,0.020319272372871636,0.02562943607568741,0.0,0.0,0.0001
34,0.025380350900632037,0.03319100031047128,0.004686020761005017,0.006123908898536242,0.020694330260157587,0.027067091315984726,0.0,0.0,0.0001
35,0.024748394714915776,0.03218365560140228,0.004575823898641946,0.005947527120753535,0.020172570757567884,0.02623612843453884,0.0,0.0,0.0001
36,0.024692999344952112,0.032596142787806454,0.0045754283536318585,0.006081227505777573,0.020117570962756872,0.026514915078878404,0.0,0.0,0.0001
37,0.024398385657586914,0.032229776151652914,0.004550798160026428,0.005915917791628794,0.019847587421536445,0.026313858553767205,0.0,0.0,0.0001
38,0.02513332610909856,0.03198781878229056,0.004623495222276417,0.006042168522589456,0.020509830862283706,0.025945650488138197,0.0,0.0,0.0001
39,0.02415875166629121,0.031198012901004404,0.004474188436089435,0.005808697902676276,0.019684563279151916,0.025389314666390418,0.0,0.0,0.0001
40,0.023856341676000738,0.03142753721418558,0.004446365606929703,0.00604559465419551,0.019409976098686457,0.02538194239139557,0.0,0.0,0.0001
41,0.024200531555070483,0.031096829391462962,0.004452780026377283,0.005992481190020744,0.019747751485556363,0.025104348212480546,0.0,0.0,0.0001
42,0.02375375729312509,0.030832520083422424,0.004432257294263877,0.005751798996739031,0.0193214999884367,0.025080721229314804,0.0,0.0,0.0001
43,0.02322534258240921,0.030374007997452282,0.004328297395910994,0.0059394444833002534,0.018897045329213144,0.02443456344306469,0.0,0.0,0.0001
44,0.023542847402532062,0.03130568264059548,0.004381311080514641,0.006069517425770685,0.01916153635829687,0.02523616507649422,0.0,0.0,0.0001
45,0.023366175784758525,0.031794827638368585,0.00436013789734643,0.005946300996030197,0.019006037842482327,0.02584852688014507,0.0,0.0,0.0001
46,0.02273872037874753,0.030443393007153645,0.004228557677420381,0.00575767743751671,0.01851016266271472,0.024685715958476066,0.0,0.0,0.0001
47,0.02265398145889776,0.02923137673380552,0.004247621149417213,0.005427696482288524,0.018406360279768705,0.023803680092096328,0.0,0.0,0.0001
48,0.02235141372813814,0.03154595833211715,0.004159286806663793,0.006050043594077492,0.0181921268068254,0.025495914444327354,0.0,0.0,0.0001
49,0.022166435448925766,0.029149117721171933,0.004160167968598074,0.005459223282741601,0.01800626752898097,0.023689894154667854,0.0,0.0,0.0001
50,0.02162398383157779,0.03389862053300021,0.004067036071527177,0.006549658238587419,0.01755694778636098,0.02734896183013916,0.0,0.0,0.0001
51,0.022191207520936587,0.029118876010325038,0.004065286086335682,0.005537155524720106,0.018125921431928874,0.023581719994544982,0.0,0.0,0.0001
52,0.022355846931204723,0.028597108816029504,0.004122655012823202,0.005255886577732603,0.018233191929757597,0.02334122233092785,0.0,0.0,0.0001
53,0.021125502125069032,0.029578598766820504,0.0039620709608177585,0.005629950339574705,0.01716343117877841,0.023948648497462272,0.0,0.0,0.0001
54,0.021503487851732644,0.028227126670171857,0.004048857454751218,0.005419646588941359,0.01745463043451309,0.022807480096817018,0.0,0.0,0.0001
55,0.020779221830271127,0.02775607318864786,0.0039033188159140766,0.005315961821842447,0.016875902991741895,0.022440111637115477,0.0,0.0,0.0001
56,0.021087286538386252,0.028177985913171142,0.003956450994434313,0.005477215763393414,0.01713083541020751,0.02270077049732208,0.0,0.0,0.0001
57,0.02108783627203593,0.03591540235618595,0.0038989641982629664,0.007139736836345219,0.01718887221068144,0.028775665760040283,0.0,0.0,0.0001
58,0.021145314008826972,0.030013972359447506,0.003922030436435966,0.00567176077253666,0.01722328370437026,0.02434221178293228,0.0,0.0,0.0001
59,0.020484610405164857,0.027243300018453737,0.0037994293228449825,0.005240553645166119,0.016685181092470885,0.02200274623930454,0.0,0.0,0.0001
60,0.020249004135603172,0.030641903864197958,0.003818553602629411,0.006018691781692322,0.016430450566112996,0.0246232121437788,0.0,0.0,0.0001
61,0.020033416745154683,0.02749501306327147,0.0038009029754632584,0.005325759789183744,0.016232513710856437,0.022169253006577492,0.0,0.0,0.0001
62,0.020519395625105973,0.027656438993799385,0.00386037611143256,0.005277161409030809,0.016659019403159617,0.022379277795553206,0.0,0.0,0.0001
63,0.02050021598901367,0.027299441758877947,0.0038772031662453353,0.0052555021766969865,0.016623012777417897,0.022043939977884293,0.0,0.0,0.0001
