epoch,train_loss,val_loss,train_loss_bce,val_loss_bce,train_loss_dice,val_loss_dice,train_loss_centroid,val_loss_centroid,current_lr
0,1.3925817804038525,0.986880154311657,0.48950649762526155,0.15518283255398274,0.9030752857774496,0.8316973209381103,0.0,0.0,0.0001
1,0.8071450442448258,0.6205346816778183,0.09493796925526113,0.05747489653527737,0.7122070755809545,0.5630597829818725,0.0,0.0,0.0001
2,0.4615419673919678,0.32417220951989295,0.026883888169541025,0.011455845991149545,0.43465807896107433,0.312716363966465,0.0,0.0,0.0001
3,0.31387672800570726,0.2994314005039632,0.008295566011220216,0.0061600171297322955,0.3055811616964638,0.2932713836431503,0.0,0.0,0.0001
4,0.18297093818895518,0.05220567982643843,0.007343022893037414,0.0071093563550250136,0.17562791550531984,0.04509632334113121,0.0,0.0,0.0001
5,0.05481222267146222,0.04384297240292653,0.007018925423290056,0.007254024517782838,0.047793297059834004,0.03658894792199135,0.0,0.0,0.0001
6,0.04595854075421812,0.039159024046966806,0.006959096479913569,0.006953086008280072,0.038999444376677274,0.03220593817532062,0.0,0.0,0.0001
7,0.043456362428551075,0.03731288006179966,0.006800492800630309,0.006604949054178962,0.03665586974471807,0.030707930475473405,0.0,0.0,0.0001
8,0.04209337822132511,0.036129890251904724,0.006637153985711848,0.006511380188923176,0.03545622432604432,0.029618510007858277,0.0,0.0,0.0001
9,0.037822278776366146,0.03729328711982816,0.006396714335705838,0.006691990488424579,0.03142556440085173,0.03060129679739475,0.0,0.0,0.0001
10,0.033956214665522566,0.0351827703914023,0.006252025863541348,0.0065979067919753175,0.0277041888050735,0.028584864139556885,0.0,0.0,0.0001
11,0.035632039303382046,0.036800732887058984,0.006224764848006999,0.006810782798525066,0.029407274387776853,0.02998995028436184,0.0,0.0,0.0001
12,0.036054667804928615,0.035785533401358406,0.005949914315040133,0.0064482603515811174,0.03010475344955921,0.029337272718548774,0.0,0.0,0.0001
13,0.035644644681742645,0.034390951892128215,0.00630063723508556,0.006269156445556097,0.029344007521867752,0.028121795579791067,0.0,0.0,0.0001
14,0.03643068338693411,0.035146152930028624,0.006704206819068901,0.006896134045832165,0.02972647650167346,0.028250018656253813,0.0,0.0,0.0001
15,0.031112095791759203,0.03394670493231388,0.0059510595862627726,0.0062021394298366036,0.025161036234349014,0.027744565308094025,0.0,0.0,0.0001
16,0.03027420602636994,0.03392992760782363,0.005845135874094254,0.00657008520951117,0.024429070204496382,0.027359842360019683,0.0,0.0,0.0001
17,0.03157881927676499,0.0350183006489533,0.006196127837897052,0.006890111252042694,0.025382691454142334,0.028128189221024513,0.0,0.0,0.0001
18,0.03155511802397086,0.034176126259262675,0.006106288454282165,0.00643326296279656,0.02544882956892252,0.027742863446474076,0.0,0.0,0.0001
19,0.02920103628319339,0.03446555602509761,0.005705059521299596,0.006423833183987593,0.023495976757258178,0.028041722774505614,0.0,0.0,0.0001
20,0.02855280606527231,0.03284823005204089,0.0056514599311866046,0.006250362300373274,0.02290134608745575,0.026597867608070373,0.0,0.0,0.0001
21,0.028979151631938295,0.03361099586072669,0.0056270959941730325,0.006589399854623697,0.023352055586874487,0.027021596133708956,0.0,0.0,0.0001
22,0.03056123296566511,0.036566173724713734,0.0059912564075582965,0.007183723430685727,0.024569976460188627,0.029382450208067894,0.0,0.0,0.0001
23,0.03080131119088037,0.03349796156602679,0.005916220775159111,0.006434996315106494,0.024885090477764608,0.027062965407967567,0.0,0.0,0.0001
24,0.027683926894205797,0.03293742053618189,0.005453884651033603,0.0062666251907149365,0.022230042200535535,0.026670795455574988,0.0,0.0,0.0001
25,0.026965668138873296,0.03318259463943832,0.005351472940754451,0.006531217037437215,0.02161419529467821,0.02665137767791748,0.0,0.0,0.0001
26,0.026931118602151402,0.03281323127885116,0.0053695932710878845,0.006487205087712123,0.021561525240540506,0.026326026618480682,0.0,0.0,0.0001
27,0.027049388209416065,0.03394389324908843,0.0054157965765698176,0.0064153726108094914,0.02163359159603715,0.02752852104604244,0.0,0.0,0.0001
28,0.02641945467730693,0.03370369534211932,0.005270675939838334,0.006679692665697148,0.021148778814822435,0.027024002671241762,0.0,0.0,0.0001
29,0.027449167116537866,0.03880195781675866,0.005473535434099144,0.008382542782009717,0.021975631788372994,0.03041941486299038,0.0,0.0,0.0001
30,0.026036826777599345,0.03372004952616407,0.00526441775295309,0.006771209997285565,0.02077240912243724,0.026948839500546454,0.0,0.0,0.0001
31,0.024835881722574414,0.035652153143892064,0.005024500989514786,0.007099112376528988,0.019811380840837955,0.028553040623664858,0.0,0.0,0.0001
32,0.02533031769304216,0.034173111382115165,0.005138504298542106,0.00698129213885632,0.02019181339070201,0.027191819399595262,0.0,0.0,7.5e-05
33,0.02460533339806716,0.03325414544553496,0.0049853125862281186,0.006771361800150823,0.019620021022856236,0.02648278385400772,0.0,0.0,7.5e-05
34,0.02488009560125647,0.03331253588563413,0.005037355065788831,0.006775204362989935,0.01984274048358202,0.026537331566214562,0.0,0.0,7.5e-05
35,0.022883994969415653,0.0341369891508657,0.004731228310745444,0.006844816919686275,0.018152766656130553,0.02729217231273651,0.0,0.0,7.5e-05
