epoch,train_loss,val_loss,current_lr
0,0.49329737265904744,0.17037230014801025,0.0005
1,0.04420200308163961,0.010146562258402507,0.0005
2,0.007724519968032837,0.0063188393910725916,0.0005
3,0.005637330611546834,0.005498920281728109,0.0005
4,0.003892046610514323,0.0035526029268900554,0.0005
5,0.002629956007003784,0.002734999656677246,0.0005
6,0.001748507817586263,0.001865557829538981,0.0005
7,0.0010233306884765625,0.0011011759440104167,0.0005
8,0.0005760586261749267,0.0008999149004618327,0.0005
9,0.0006268155574798584,0.001735088030497233,0.0005
10,0.0008212506771087646,0.001404283841451009,0.0005
11,0.00036162773768107096,0.0005438518524169922,0.0005
12,0.0001673567295074463,0.0004371301333109538,0.0005
13,0.0010687859853108724,0.0025977436701456707,0.0005
14,0.00022730271021525065,0.00018134196599324545,0.0005
15,5.428075790405273e-05,0.0003806082407633464,0.0005
16,5.408883094787598e-05,0.0003141967455546061,0.0005
17,0.0007723418871561686,0.0007742047309875488,0.0005
18,0.00012677113215128581,0.00022576014200846353,0.0005
19,3.453175226847331e-05,0.00033919334411621095,0.00025
20,2.9552777608235677e-05,4.824956258138021e-05,0.00025
21,2.6202599207560222e-05,4.459857940673828e-05,0.00025
22,3.88650099436442e-05,0.00011110226313273112,0.00025
23,3.795266151428223e-05,0.00010241985321044921,0.00025
24,8.264740308125813e-05,7.253726323445638e-05,0.00025
25,0.00011080423990885417,0.00025142908096313475,0.00025
26,9.258031845092773e-05,0.00013988653818766277,0.000125
27,2.5370518366495767e-05,2.9838085174560548e-05,0.000125
28,1.836856206258138e-05,2.782265345255534e-05,0.000125
29,1.699209213256836e-05,3.244956334431966e-05,0.000125
30,1.5798012415568035e-05,3.1573772430419924e-05,0.000125
31,1.657207806905111e-05,3.330151240030925e-05,0.000125
32,3.1779209772745766e-05,0.000160216490427653,0.000125
33,8.158524831136068e-05,3.529946009318034e-05,6.25e-05
34,1.768310864766439e-05,2.241055170694987e-05,6.25e-05
35,1.5588601430257163e-05,2.5171438852945964e-05,6.25e-05
36,1.5530983606974284e-05,2.627134323120117e-05,6.25e-05
37,1.3181765874226888e-05,2.3581981658935546e-05,6.25e-05
38,1.9642114639282228e-05,3.0508836110432944e-05,6.25e-05
39,2.1442174911499024e-05,3.488540649414062e-05,3.125e-05
40,1.599550247192383e-05,2.5151570638020835e-05,3.125e-05
41,1.3757944107055664e-05,2.6524066925048828e-05,3.125e-05
42,1.3061364491780599e-05,2.7209917704264323e-05,3.125e-05
43,1.2711683909098308e-05,2.9320716857910157e-05,3.125e-05
44,1.2948910395304362e-05,3.402153650919596e-05,1.563e-05
45,1.3099114100138347e-05,3.047625223795573e-05,1.563e-05
46,1.1734565099080404e-05,3.071784973144531e-05,1.563e-05
47,1.1795759201049805e-05,3.1863848368326825e-05,1.563e-05
