epoch,train_loss,val_loss,train_loss_bce,val_loss_bce,train_loss_dice,val_loss_dice,train_loss_centroid,val_loss_centroid,current_lr
0,1.134927505068481,0.6390607194602489,0.31309335907921193,0.07891740502789617,0.8218341459706425,0.560143314525485,0.0,0.0,0.0001
1,0.4341196141019463,0.32404068134725095,0.03206984247546643,0.017264485387131573,0.4020497716963291,0.3067761955410242,0.0,0.0,0.0001
2,0.316734553668648,0.2923742508329451,0.011192223758844193,0.00945782886701636,0.3055423300154507,0.2829164195805788,0.0,0.0,0.0001
3,0.28954327048501,0.2280746202263981,0.007484707556432113,0.006405725011918548,0.28205856243148447,0.22166889473795892,0.0,0.0,0.0001
4,0.11394554682308808,0.039182149295229465,0.007128124815499177,0.00552153277055929,0.10681742209941149,0.03366061650216579,0.0,0.0,0.0001
5,0.0466111438482767,0.03372485224856064,0.006865685154407402,0.005648226082367731,0.03974545862525702,0.028076625838875772,0.0,0.0,0.0001
6,0.0374056850472698,0.029436509370571004,0.006351480567464023,0.005027911475378185,0.031054204404354094,0.024408597871661185,0.0,0.0,0.0001
7,0.036765024974010886,0.028640240608365276,0.006092256452539004,0.00484427764752371,0.030672768577933312,0.023795963302254676,0.0,0.0,0.0001
8,0.03227818118321011,0.028018807015614586,0.005890818134284928,0.004429492820394646,0.02638736305758357,0.023589313849806785,0.0,0.0,0.0001
9,0.032692249870015073,0.027862643855041825,0.005783987725608313,0.004470240322630371,0.026908262092620136,0.023392403721809386,0.0,0.0,0.0001
10,0.031217499693884748,0.026270567318424583,0.005731006418220943,0.004227923631944338,0.025486493259668352,0.02204264409840107,0.0,0.0,0.0001
11,0.02989241232724453,0.025668404602911324,0.00549641005845956,0.004410451712493925,0.024396002143621445,0.021257952749729157,0.0,0.0,0.0001
12,0.030312721212249018,0.025256703307823047,0.005454049394558069,0.004142860821330366,0.024858671855181456,0.02111384265124798,0.0,0.0,0.0001
13,0.029920612676796736,0.030369259885046632,0.005470268977931525,0.004962235252892611,0.02445034369826317,0.025407024621963502,0.0,0.0,0.0001
14,0.028584005615994102,0.027897023399127648,0.00528834233679838,0.004430442913290924,0.023295663241297008,0.02346658043563366,0.0,0.0,0.0001
15,0.02777613564336207,0.024506825110001955,0.005223228240947719,0.0038676783839821966,0.02255290737375617,0.02063914656639099,0.0,0.0,0.0001
16,0.0284393641436327,0.02594190527088358,0.005177516759434937,0.004018523485388587,0.02326184732839465,0.02192338176071644,0.0,0.0,0.0001
17,0.02794656414887868,0.03008205845952034,0.005203051965232781,0.004647351433436297,0.022743512112647295,0.025434706807136536,0.0,0.0,0.0001
18,0.02707910868266481,0.025942129776522053,0.005083620737731822,0.00419021373781392,0.02199548779055476,0.02175191603600979,0.0,0.0,0.0001
19,0.026718636467958277,0.024179744825378293,0.004933071589397899,0.003995462198151284,0.02178556488826871,0.020184282809495926,0.0,0.0,0.0001
20,0.026131823442774475,0.03314468080221559,0.004876041364358205,0.005548313200904609,0.021255782153457404,0.02759636715054512,0.0,0.0,0.0001
21,0.025868151102404226,0.022716038514045068,0.004841419853879811,0.003610060673245374,0.021026731133461,0.01910597786307335,0.0,0.0,0.0001
22,0.02562747990992648,0.022469157449668275,0.004811004970995878,0.003473236016516832,0.020816474929451944,0.018995921313762664,0.0,0.0,0.0001
23,0.025442318415553018,0.021531060398265255,0.004730881327270047,0.00342352704412542,0.020711437053978442,0.01810753308236599,0.0,0.0,0.0001
24,0.024813419298916416,0.03263137044734322,0.004652671421647887,0.0053240240221258525,0.02016074791550636,0.027307346388697626,0.0,0.0,0.0001
25,0.024872714926350455,0.029976970174757298,0.004622187462884692,0.005164722141500583,0.02025052746757865,0.024812247827649115,0.0,0.0,0.0001
26,0.024985850449484134,0.025670021891128273,0.004727511882876567,0.004306167230837008,0.020258338637650013,0.02136385440826416,0.0,0.0,0.0001
27,0.024144273591555247,0.04209726079599932,0.004603981208839989,0.0066096486808374984,0.019540292453020813,0.03548761256039143,0.0,0.0,0.0001
