epoch,train_loss,val_loss,current_lr
0,1.8645722583770752,1.8342446472167968,5e-05
1,1.775845959854126,1.7270190044403075,5e-05
2,1.7022661144256592,1.6832465839385986,5e-05
3,1.6719001808166505,1.6609297058105468,5e-05
4,1.6530435665130616,1.6434306968688965,5e-05
5,1.6372894920349121,1.629708143043518,5e-05
6,1.6251283115386963,1.6191349575042724,5e-05
7,1.6157130390167236,1.610955383682251,5e-05
8,1.6077730545043944,1.604417746925354,5e-05
9,1.601290488433838,1.5980820755004883,5e-05
10,1.596220205307007,1.594032075881958,5e-05
11,1.5924896898269654,1.5907871402740479,5e-05
12,1.5894268501281739,1.5877585945129395,5e-05
13,1.5866805435180664,1.5855395944595336,5e-05
14,1.5847480842590331,1.5839149801254273,5e-05
15,1.5832503902435302,1.5827205661773682,5e-05
16,1.5821945301055909,1.5817556949615479,5e-05
17,1.5813508234024047,1.5810411346435547,5e-05
18,1.5807393699645995,1.580601262664795,5e-05
19,1.580274040222168,1.5801118045806886,5e-05
20,1.5798049039840698,1.5795174152374267,5e-05
21,1.5792312324523925,1.579134253692627,5e-05
22,1.5789373821258545,1.5789051113128663,5e-05
23,1.578699222946167,1.5786275093078612,5e-05
24,1.578469055747986,1.5784857704162598,5e-05
25,1.5783152976989747,1.5783240043640137,5e-05
26,1.5781993019104004,1.5782041107177733,5e-05
27,1.578107931137085,1.5781465669631958,5e-05
28,1.577851766204834,1.5778815620422364,5e-05
29,1.577726424598694,1.5777490644454957,5e-05
30,1.5776191341400148,1.5776617805480957,5e-05
31,1.577578984451294,1.5776522174835206,5e-05
32,1.5775342641830445,1.5775782112121581,5e-05
33,1.5774880195617675,1.577541494178772,5e-05
34,1.5774511447906494,1.5775075092315674,5e-05
35,1.57742340965271,1.5774905361175537,5e-05
36,1.5774053283691407,1.5774639289855956,5e-05
37,1.5773978168487548,1.5774378318786622,5e-05
38,1.5773810344696044,1.5774476428985595,5e-05
39,1.5774081623077392,1.5773998966217042,5e-05
40,1.5773604930877685,1.5773935466766358,5e-05
41,1.577356531906128,1.5773913425445556,5e-05
42,1.5773500789642334,1.5773982522964478,2.5e-05
43,1.577343815612793,1.5773503692626953,2.5e-05
44,1.5773425868988038,1.577349500656128,2.5e-05
45,1.5773446603775025,1.577351661491394,2.5e-05
46,1.577336150741577,1.5773465375900269,2.5e-05
47,1.5773320371627808,1.5773361085891724,2.5e-05
48,1.5773516098022462,1.5773292881011962,2.5e-05
49,1.5773232391357421,1.5773286798477173,2.5e-05
50,1.5773230556488038,1.5773314559936524,2.5e-05
51,1.577320669555664,1.577327812576294,2.5e-05
52,1.577308975982666,1.5773105632781983,2.5e-05
53,1.5773002155303955,1.5773117847442626,2.5e-05
54,1.5773446254730226,1.5772962661743164,2.5e-05
55,1.5772929346084594,1.5772965948104858,1.25e-05
56,1.5772927516937256,1.5772953922271729,1.25e-05
57,1.5772924612045287,1.5772968643188476,1.25e-05
58,1.5772919229507447,1.5772965728759765,1.25e-05
59,1.5772895437240602,1.5772627700805664,1.25e-05
60,1.5772580417633058,1.5772596864700317,1.25e-05
61,1.5772571544647216,1.5772593635559082,1.25e-05
62,1.5772567783355713,1.5772612791061402,6.25e-06
63,1.577255846786499,1.577258159637451,6.25e-06
